Primero Medio,Valentina Navarro,97725184-2,valentina.navarro@mail.com
Primero Medio,Maria Navarro,95850867-0,maria.navarro@mail.com
Primero Medio,Victoria Reyes,83618052-6,victoria.reyes@mail.com
Primero Medio,Laura Cruz,50247645-9,laura.cruz@mail.com
Primero Medio,Camila Castillo,49605912-3,camila.castillo@mail.com
Primero Medio,Ricardo Campos,95965256-2,ricardo.campos@mail.com
Primero Medio,Antonio Torres,54224745-2,antonio.torres@mail.com
Primero Medio,Miguel Vargas,83931760-3,miguel.vargas@mail.com
Primero Medio,Camila Gutierrez,43497933-1,camila.gutierrez@mail.com
Primero Medio,Jose Suarez,24649924-1,jose.suarez@mail.com
Primero Medio,Sofia Sanchez,19350779-4,sofia.sanchez@mail.com
Primero Medio,Francisco Reyes,43430344-3,francisco.reyes@mail.com
Primero Medio,Jose Ramirez,36773387-K,jose.ramirez@mail.com
Primero Medio,Fernando Rodriguez,66802338-K,fernando.rodriguez@mail.com
Primero Medio,Lucia Romero,78291210-0,lucia.romero@mail.com
Primero Medio,Carmen Hernandez,76201668-0,carmen.hernandez@mail.com
Primero Medio,Lucia Gutierrez,43587544-0,lucia.gutierrez@mail.com
Primero Medio,Pedro Silva,67863912-5,pedro.silva@mail.com
Primero Medio,Luis Lopez,50416540-K,luis.lopez@mail.com
Primero Medio,Ana Ortega,82346017-1,ana.ortega@mail.com
Primero Medio,Antonio Soto,13727661-5,antonio.soto@mail.com
Primero Medio,Sofia Silva,46350047-9,sofia.silva@mail.com
Primero Medio,Francisco Gutierrez,50144528-2,francisco.gutierrez@mail.com
Primero Medio,Daniela Perez,75093595-8,daniela.perez@mail.com
Segundo Medio,Luis Sanchez,67078820-2,luis.sanchez@mail.com
Segundo Medio,Daniela Rios,24196499-K,daniela.rios@mail.com
Segundo Medio,Marta Cruz,69553752-2,marta.cruz@mail.com
Segundo Medio,Isabel Torres,23613570-5,isabel.torres@mail.com
Segundo Medio,Raul Ortega,20178761-0,raul.ortega@mail.com
Segundo Medio,Diego Paredes,64984574-3,diego.paredes@mail.com
Segundo Medio,Ana Reyes,60250972-9,ana.reyes@mail.com
Segundo Medio,Valentina Vega,99095730-4,valentina.vega@mail.com
Segundo Medio,Gabriela Molina,93800068-9,gabriela.molina@mail.com
Segundo Medio,Fernando Suarez,21142605-5,fernando.suarez@mail.com
Segundo Medio,Camila Martinez,77719665-0,camila.martinez@mail.com
Segundo Medio,Fernando Rodriguez,99499177-9,fernando.rodriguez@mail.com
Segundo Medio,Jose Molina,82963624-7,jose.molina@mail.com
Segundo Medio,Hugo Suarez,21341378-3,hugo.suarez@mail.com
Segundo Medio,Miguel Gutierrez,75165948-2,miguel.gutierrez@mail.com
Segundo Medio,Carlos Vega,33059706-2,carlos.vega@mail.com
Segundo Medio,Alicia Rodriguez,53150243-4,alicia.rodriguez@mail.com
Segundo Medio,Martin Ramirez,78092609-0,martin.ramirez@mail.com
Segundo Medio,Elena Gomez,16565166-9,elena.gomez@mail.com
Segundo Medio,Marta Ortega,54048488-0,marta.ortega@mail.com
Segundo Medio,Ana Molina,78268619-4,ana.molina@mail.com
Segundo Medio,Fernando Suarez,38906352-5,fernando.suarez@mail.com
Segundo Medio,Carlos Paredes,85117796-5,carlos.paredes@mail.com
Segundo Medio,Martin Castillo,86901975-5,martin.castillo@mail.com
Segundo Medio,Diego Torres,85126601-1,diego.torres@mail.com
Tercero Medio,Antonio Vargas,72931454-4,antonio.vargas@mail.com
Tercero Medio,Fernando Herrera,79757859-2,fernando.herrera@mail.com
Tercero Medio,Antonio Hernandez,20680932-9,antonio.hernandez@mail.com
Tercero Medio,Miguel Gutierrez,59279917-0,miguel.gutierrez@mail.com
Tercero Medio,Jose Hernandez,86640269-8,jose.hernandez@mail.com
Tercero Medio,Sofia Morales,49292597-7,sofia.morales@mail.com
Tercero Medio,Camila Arias,88141791-K,camila.arias@mail.com
Tercero Medio,Lucia Castillo,27145739-1,lucia.castillo@mail.com
Tercero Medio,Ana Vega,14241009-5,ana.vega@mail.com
Tercero Medio,Isabel Castillo,42709372-7,isabel.castillo@mail.com
Tercero Medio,Ricardo Rios,92690808-1,ricardo.rios@mail.com
Tercero Medio,Carlos Navarro,60407793-1,carlos.navarro@mail.com
Tercero Medio,Raul Castillo,83210159-1,raul.castillo@mail.com
Tercero Medio,Fernando Suarez,36172950-1,fernando.suarez@mail.com
Tercero Medio,Juan Ortega,14537132-5,juan.ortega@mail.com
Tercero Medio,Raul Sanchez,88026717-5,raul.sanchez@mail.com
Tercero Medio,Camila Sanchez,92079511-0,camila.sanchez@mail.com
Tercero Medio,Lucia Hernandez,52989479-1,lucia.hernandez@mail.com
Tercero Medio,Jose Flores,48568314-3,jose.flores@mail.com
Tercero Medio,Elena Molina,97174359-K,elena.molina@mail.com
Tercero Medio,Ana Arias,67423078-8,ana.arias@mail.com
Tercero Medio,Laura Martinez,43037229-7,laura.martinez@mail.com
Tercero Medio,Elena Ramirez,82611943-8,elena.ramirez@mail.com
Tercero Medio,Lucia Lopez,52160614-2,lucia.lopez@mail.com
Tercero Medio,Raul Ortega,13631137-9,raul.ortega@mail.com
Cuarto Medio,Lucia Paredes,71813298-3,lucia.paredes@mail.com
Cuarto Medio,Carlos Arias,21116295-3,carlos.arias@mail.com
Cuarto Medio,Carmen Molina,15852891-6,carmen.molina@mail.com
Cuarto Medio,Maria Ortega,34723474-5,maria.ortega@mail.com
Cuarto Medio,Luis Morales,62515036-1,luis.morales@mail.com
Cuarto Medio,Gabriela Rodriguez,53181359-6,gabriela.rodriguez@mail.com
Cuarto Medio,Maria Silva,75028271-7,maria.silva@mail.com
Cuarto Medio,Maria Soto,22283321-3,maria.soto@mail.com,910000081
Cuarto Medio,Elena Rodriguez,76692651-7,elena.rodriguez@mail.com,910000082
Cuarto Medio,Isabel Suarez,72131969-5,isabel.suarez@mail.com,910000083
Cuarto Medio,Antonio Castillo,73595227-7,antonio.castillo@mail.com,910000084
Cuarto Medio,Isabel Soto,11903310-1,isabel.soto@mail.com,910000085
Cuarto Medio,Francisco Herrera,82408379-7,francisco.herrera@mail.com,910000086
Cuarto Medio,Laura Romero,18573347-5,laura.romero@mail.com,910000087
Cuarto Medio,Lucia Herrera,13574015-2,lucia.herrera@mail.com,910000088
Cuarto Medio,Fernando Hernandez,60353533-2,fernando.hernandez@mail.com,910000089
Cuarto Medio,Carmen Martinez,91171360-8,carmen.martinez@mail.com,910000090
